dataset,classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
diabetes,Decision Tree,0.7068523581681477,0.05494889925685501,0.7130103755455758,0.05106880867591785,0.7068523581681477,0.05494889925685501,0.708064818582417,0.05311242594092443
diabetes,kNN,0.7408065618591934,0.05509042100782853,0.7394344896292029,0.0582953843221087,0.7408065618591934,0.05509042100782853,0.7381292474546111,0.05677724216699611
diabetes,SVM,0.7513157894736843,0.039482194092069496,0.7459017926952953,0.04286170726752996,0.7513157894736843,0.039482194092069496,0.7421137875213238,0.04176718061957825
iris,Decision Tree,0.9400000000000001,0.05537749241945382,0.9541666666666668,0.036244412085277455,0.9400000000000001,0.05537749241945382,0.9376179376179377,0.06049482287967732
iris,kNN,0.9466666666666667,0.04988876515698587,0.9549206349206351,0.04344221450975669,0.9466666666666667,0.04988876515698587,0.9458417508417508,0.050867947071959914
iris,SVM,0.9466666666666667,0.03999999999999999,0.9544444444444447,0.035642255405212056,0.9466666666666667,0.03999999999999999,0.9461952861952861,0.04026964179039688
winequality,Decision Tree,0.6263816201327157,0.016500892288925376,0.6257572180761521,0.016659001260770575,0.6263816201327157,0.016500892288925376,0.6251396302791479,0.01649269492254381
winequality,kNN,0.5616585284420517,0.01925816093225836,0.5513887836471892,0.02190625693533969,0.5616585284420517,0.01925816093225836,0.5512775059905678,0.019810408747356466
winequality,SVM,0.5741104294478527,0.01670011411604494,0.5619621153110759,0.020116366606254037,0.5741104294478527,0.01670011411604494,0.5378936733609366,0.017190464343843543
zoo,Decision Tree,0.95,0.06708203932499368,0.9400000000000001,0.08306623862918074,0.95,0.06708203932499368,0.9433333333333334,0.07753135566408674
zoo,kNN,0.930909090909091,0.045308857434098584,0.9046969696969697,0.06560955970793335,0.930909090909091,0.045308857434098584,0.9138787878787878,0.057842095302475985
zoo,SVM,0.9400000000000001,0.04898979485566356,0.9183333333333333,0.06970174555442163,0.9400000000000001,0.04898979485566356,0.9259999999999999,0.06178457196852086
